pond	block	date	timepoint	treatment	replicates	duckweed_number	aphid_number																									
12A	12	21.10.2025	21	heated	6	50	0																									
12B	12	21.10.2025	21	control	1	50	0																									
12B	12	21.10.2025	21	control	2	50	0																									
12B	12	21.10.2025	21	control	3	50	3																									
12B	12	21.10.2025	21	control	4	50	0																									
12B	12	21.10.2025	21	control	5	50	0																									
12B	12	21.10.2025	21	control	6	50	0																									
13A	13	21.10.2025	21	control	1	50	10																									
13A	13	21.10.2025	21	control	2	50	1																									
13A	13	21.10.2025	21	control	3	50	7																									
13A	13	21.10.2025	21	control	4	50	4																									
13A	13	21.10.2025	21	control	5	50	3																									
13A	13	21.10.2025	21	control	6	50	4																									
13B	13	21.10.2025	21	heated	1	50	0																									
13B	13	21.10.2025	21	heated	2	50	0																									
13B	13	21.10.2025	21	heated	3	50	0																									
13B	13	21.10.2025	21	heated	4	50	0																									
13B	13	21.10.2025	21	heated	5	50	0																									
13B	13	21.10.2025	21	heated	6	50	0																									
14A	14	21.10.2025	21	control	1	50	1																									
14A	14	21.10.2025	21	control	2	50	0																									
14A	14	21.10.2025	21	control	3	50	1																									
14A	14	21.10.2025	21	control	4	50	1																									
14A	14	21.10.2025	21	control	5	50	0																									
14A	14	21.10.2025	21	control	6	50	0																									
14B	14	21.10.2025	21	heated	1	50	0																									
14B	14	21.10.2025	21	heated	2	50	0																									
14B	14	21.10.2025	21	heated	3	50	0																									
14B	14	21.10.2025	21	heated	4	50	1																									
14B	14	21.10.2025	21	heated	5	50	2																									
14B	14	21.10.2025	21	heated	6	50	1																									
15A	15	21.10.2025	21	heated	1	50	0																									
15A	15	21.10.2025	21	heated	2	50	0																									
15A	15	21.10.2025	21	heated	3	50	0																									
15A	15	21.10.2025	21	heated	4	50	0																									
15A	15	21.10.2025	21	heated	5	50	0																									
15A	15	21.10.2025	21	heated	6	50	0																									
15B	15	21.10.2025	21	control	1	0	0																									
16A	16	21.10.2025	21	heated	1	50	1																									
16A	16	21.10.2025	21	heated	2	50	5																									
16A	16	21.10.2025	21	heated	3	50	3																									
16A	16	21.10.2025	21	heated	4	50	6																									
16A	16	21.10.2025	21	heated	5	50	0																									
16A	16	21.10.2025	21	heated	6	50	1																									
16B	16	21.10.2025	21	control	1	50	0																									
16B	16	21.10.2025	21	control	2	50	0																									
16B	16	21.10.2025	21	control	3	50	0																									
16B	16	21.10.2025	21	control	4	50	0																									
16B	16	21.10.2025	21	control	5	50	0																									
16B	16	21.10.2025	21	control	6	50	0																									
