ID	pond	block	treatment	date	timepoint	number_daphnia			
15B	15B	15	control	25.08.2025	13	675			
16A	16A	16	heated	25.08.2025	13	18			
16B	16B	16	control	25.08.2025	13	650			
1A	1A	1	control	08.09.2025	15	418			
1B	1B	1	heated	08.09.2025	15	434			
2A	2A	2	control	08.09.2025	15	325			
2B	2B	2	heated	08.09.2025	15	86			
3A	3A	3	heated	08.09.2025	15	219			
3B	3B	3	control	08.09.2025	15	604			
4A	4A	4	heated	08.09.2025	15	288			
4B	4B	4	control	08.09.2025	15	0			
5A	5A	5	control	08.09.2025	15	402			
5B	5B	5	heated	08.09.2025	15	529			
6A	6A	6	control	08.09.2025	15	494			
6B	6B	6	heated	08.09.2025	15	78			
7A	7A	7	heated	08.09.2025	15	510			
7B	7B	7	control	08.09.2025	15	996			
8A	8A	8	heated	08.09.2025	15	705			
8B	8B	8	control	08.09.2025	15	188			
9A	9A	9	control	08.09.2025	15	340			
9B	9B	9	heated	08.09.2025	15	63			
10A	10A	10	control	08.09.2025	15	507			
10B	10B	10	heated	08.09.2025	15	155			
11A	11A	11	heated	08.09.2025	15	501			
11B	11B	11	control	08.09.2025	15	1020			
12A	12A	12	heated	08.09.2025	15	16			
12B	12B	12	control	08.09.2025	15	376			
13A	13A	13	control	08.09.2025	15	335			
13B	13B	13	heated	08.09.2025	15	51			
14A	14A	14	control	08.09.2025	15	213			
14B	14B	14	heated	08.09.2025	15	42			
15A	15A	15	heated	08.09.2025	15	52			
15B	15B	15	control	08.09.2025	15	552			
16A	16A	16	heated	08.09.2025	15	23			
16B	16B	16	control	08.09.2025	15	305			
1A	1A	1	control	22.09.2025	17	209			
1B	1B	1	heated	22.09.2025	17	477			
2A	2A	2	control	22.09.2025	17	471			
2B	2B	2	heated	22.09.2025	17	84			
3A	3A	3	heated	22.09.2025	17	107			
3B	3B	3	control	22.09.2025	17	137			
4A	4A	4	heated	22.09.2025	17	90			
4B	4B	4	control	22.09.2025	17	8			
5A	5A	5	control	22.09.2025	17	164			
5B	5B	5	heated	22.09.2025	17	880			
6A	6A	6	control	22.09.2025	17	195			
6B	6B	6	heated	22.09.2025	17	122			
7A	7A	7	heated	22.09.2025	17	581			
7B	7B	7	control	22.09.2025	17	165			
8A	8A	8	heated	22.09.2025	17	29			
8B	8B	8	control	22.09.2025	17	890			
9A	9A	9	control	22.09.2025	17	171			
9B	9B	9	heated	22.09.2025	17	122			
10A	10A	10	control	22.09.2025	17	369			
10B	10B	10	heated	22.09.2025	17	133			
11A	11A	11	heated	22.09.2025	17	20			
11B	11B	11	control	22.09.2025	17	910			
12A	12A	12	heated	22.09.2025	17	35			
12B	12B	12	control	22.09.2025	17	186			
13A	13A	13	control	22.09.2025	17	252			
13B	13B	13	heated	22.09.2025	17	104			
14A	14A	14	control	22.09.2025	17	183			
14B	14B	14	heated	22.09.2025	17	71			
15A	15A	15	heated	22.09.2025	17	37			
15B	15B	15	control	22.09.2025	17	218			
16A	16A	16	heated	22.09.2025	17	29			
16B	16B	16	control	22.09.2025	17	471			
1A	1A	1	control	21.10.2025	21	158			
1B	1B	1	heated	21.10.2025	21	272			
2A	2A	2	control	21.10.2025	21	234			
2B	2B	2	heated	21.10.2025	21	35			
3A	3A	3	heated	21.10.2025	21	166			
3B	3B	3	control	21.10.2025	21	312			
4A	4A	4	heated	21.10.2025	21	111			
4B	4B	4	control	21.10.2025	21	19			
5A	5A	5	control	21.10.2025	21	40			
5B	5B	5	heated	21.10.2025	21	38			
6A	6A	6	control	21.10.2025	21	122			
6B	6B	6	heated	21.10.2025	21	163			
7A	7A	7	heated	21.10.2025	21	207			
7B	7B	7	control	21.10.2025	21	196			
8A	8A	8	heated	21.10.2025	21	39			
8B	8B	8	control	21.10.2025	21	136			
9A	9A	9	control	21.10.2025	21	218			
9B	9B	9	heated	21.10.2025	21	149			
10A	10A	10	control	21.10.2025	21	151			
10B	10B	10	heated	21.10.2025	21	64			
11A	11A	11	heated	21.10.2025	21	73			
11B	11B	11	control	21.10.2025	21	78			
12A	12A	12	heated	21.10.2025	21	51			
12B	12B	12	control	21.10.2025	21	148			
13A	13A	13	control	21.10.2025	21	149			
13B	13B	13	heated	21.10.2025	21	27			
14A	14A	14	control	21.10.2025	21	121			
14B	14B	14	heated	21.10.2025	21	45			
15A	15A	15	heated	21.10.2025	21	29			
15B	15B	15	control	21.10.2025	21	127			
16A	16A	16	heated	21.10.2025	21	30			
16B	16B	16	control	21.10.2025	21	68			
